Start;End;Distance
B1;ZBIB;76
B1;B38;48
B1;FKAM;147
B1;GCID;120
B1;GVCI;91
B1;GCI2;83
B12;B19;38
B13;GP19;88
B13;GVAV;97
B13;FSUB;26
B13;B19;88
B13;B14;24
B13;B20;125
B14;B13;24
B14;B15;22
B15;B14;22
B15;B16;26
B16;B15;26
B16;B23;39
B16;FCP;41
B16;XB17;14
B17;XB17;17
B17;B18;48
B18;B17;48
B18;XB17;26
B18;ZSCF;30
B18;ZCAR;58
B18;B3;40
B18;GVAR;63
B18;GPA;68
B18;B26;60
B18;ZJCO;43
B19;GAG;63
B19;GVAG;69
B19;FSUB;66
B19;B13;88
B19;GP19;87
B19;GVAV;97
B19;B21;90
B19;B20;125
B19;B12;38
B20;B19;125
B20;B13;125
B21;B19;90
B23;B16;39
B26;B3;35
B26;ZJCO;15
B26;GVAR;58
B26;GPA;68
B26;ZT29;70
B26;Z291;52
B26;B28;40
B26;B27;44
B27;B3;69
B27;ZJCO;49
B27;B26;44
B27;B28;15
B27;B30;27
B28;B3;55
B28;ZJCO;37
B28;B26;40
B28;Z292;24
B28;XB29;15
B28;B27;15
B28;XPIM;15
B28;B30;41
B29;ZT29;38
B29;Z291;12
B29;Z292;15
B29;ZPLA;12
B29;XPIM;35
B3;FCP;30
B3;B18;66
B3;B7;40
B3;ZPCU;78
B3;ZJCO;56
B3;FDOG;24
B3;B26;52
B3;ZT29;35
B3;Z291;65
B3;B28;53
B3;B27;55
B30;B28;69
B30;B27;38
B30;XPIM;27
B30;B33;38
B33;XB33;47
B33;B30;16
B33;XPIM;47
B34;ZC34;17
B34;XB33;16
B35;XB33;24
B35;ZC35;11
B35;ZETE;18
B35;FTEJ;13
B35;FDL;21
B38;XB33;12
B38;ZETE;45
B38;ZLEC;29
B38;ZBIB;66
B38;GV48;22
B38;FTEJ;47
B38;FKAM;153
B38;ZGYA;62
B38;GVV4;25
B38;G4S;38
B38;B1;50
B7;FCP;48
B7;ZGYM;33
B7;GVPR;40
B7;ZPCU;50
B7;B3;40
F38;FDL;78
FCP;B16;109
FCP;ZGYM;41
FCP;B7;55
FCP;XB17;33
FCP;B3;26
FCP;ZPCU;66
FCP;GVPR;68
FDL;B35;70
FDL;ZETE;12
FDL;ZLEC;45
FDL;ZBIB;69
FDL;FTEJ;32
FDL;B38;73
FDOG;ZPCU;109
FDOG;ZPLC;55
FDOG;B3;39
FDOG;ZPLA;52
FDOG;ZT29;47
FKAM;ZBIB;28
FKAM;B38;28
FKAM;ZGYA;62
FKAM;B1;100
FKAM;GVV4;147
FKAM;G4S;142
FKAM;GV48;33
FSUB;B19;101
FSUB;GP19;66
FSUB;GVAV;89
FSUB;B13;89
FTEJ;B35;26
FTEJ;ZETE;21
FTEJ;ZLEC;12
FTEJ;ZBIB;40
FTEJ;GV48;29
FTEJ;B38;31
FTEJ;FDL;153
G4S;LIM4;73
G4S;B38;1
G4S;FKAM;50
G4S;ZGYA;33
GAG;LIM1;1
GAG;B19;1
GCI2;LIM10;63
GCI2;B1;1
GCID;LIM9;83
GCID;B1;1
GP19;LIM8;1
GP19;FSUB;1
GP19;B13;89
GP19;B19;88
GPA;LIM11;1
GPA;B18;1
GPA;ZCAR;68
GPA;B26;23
GPP;LIM6;68
GPP;XEP;1
GV48;LIM3;1
GV48;FTEJ;1
GV48;B38;31
GV48;FKAM;47
GV48;ZGYA;101
GVAG;LIM12;1
GVAG;B19;1
GVAR;LIM2;1
GVAR;B18;1
GVAR;ZCAR;63
GVAR;B26;23
GVAV;LIM13;1
GVAV;FSUB;1
GVAV;B13;89
GVAV;B19;97
GVCI;LIM10;97
GVCI;B1;1
GVPR;LIM7;91
GVPR;FCP;1
GVPR;B7;70
GVPR;ZPCU;50
GVV4;LIM5;62
GVV4;ZBIB;1
GVV4;B38;83
GVV4;FKAM;38
GVV4;ZGYA;142
LIM1;GAG;1
LIM12;GVAG;1
LIM10;GCI2;1
LIM10;GVCI;1
LIM11;GPA;1
LIM2;GVAR;1
LIM3;GV48;1
LIM4;G4S;1
LIM5;GVV4;1
LIM6;GPP;1
LIM7;GVPR;1
LIM8;GP19;1
LIM13;GVAV;1
LIM9;GCID;1
XB17;ZEE;1
XB17;B16;21
XB17;B17;14
XB17;ZSCF;17
XB17;B18;1
XB17;FCP;26
XB29;Z291;26
XB29;Z292;13
XB29;B28;9
XB29;XPIM;15
XB33;ZPLA;15
XB33;B33;36
XB33;B35;53
XB33;B34;16
XB33;ZBIB;11
XB33;B38;24
XB33;ZLEC;34
XEP;GPP;45
XEP;ZJEF;26
XEP;ZPLA;9
XPIM;ZPLA;51
XPIM;ZT29;25
XPIM;B29;40
XPIM;B28;45
XPIM;B30;30
XPIM;ZPIM;41
XPIM;B33;38
XPIM;XB29;1
Z291;B3;17
Z291;ZJCO;36
Z291;B26;53
Z291;ZT29;57
Z291;B29;52
Z291;XB29;26
Z292;XB29;15
Z292;B29;13
Z292;B28;9
ZBIB;ZPLA;12
ZBIB;XB33;24
ZBIB;ZETE;44
ZBIB;ZLEC;34
ZBIB;B38;21
ZBIB;FDL;43
ZBIB;FTEJ;22
ZBIB;B1;32
ZBIB;FKAM;29
ZBIB;GVV4;76
ZC34;B34;28
ZC35;B35;83
ZCAR;B18;16
ZCAR;GVAR;18
ZCAR;GPA;58
ZCAR;ZTAR;23
ZEE;XB17;23
ZETE;B35;22
ZETE;FTEJ;21
ZETE;FDL;13
ZETE;ZLEC;12
ZETE;ZBIB;45
ZETE;B38;24
ZGYA;B38;21
ZGYA;FKAM;29
ZGYA;G4S;25
ZGYA;GV48;100
ZGYA;GVV4;53
ZGYM;FCP;128
ZGYM;B7;117
ZJCO;B18;55
ZJCO;B3;40
ZJCO;B26;43
ZJCO;ZT29;24
ZJCO;Z291;15
ZJCO;B28;58
ZJCO;B27;57
ZJEF;XEP;37
ZJEF;ZPLA;49
ZLEC;XB33;51
ZLEC;ZETE;71
ZLEC;FTEJ;26
ZLEC;FDL;24
ZLEC;B38;40
ZLEC;ZBIB;69
ZPCU;FCP;66
ZPCU;B7;43
ZPCU;GVPR;68
ZPCU;ZPLC;40
ZPCU;B3;62
ZPCU;FDOG;60
ZPIM;XPIM;56
ZPLA;ZJEF;55
ZPLA;FDOG;1
ZPLA;ZBIB;71
ZPLA;ZT29;47
ZPLA;XPIM;44
ZPLA;XB33;39
ZPLA;B29;40
ZPLA;XEP;63
ZPLC;ZPCU;35
ZPLC;FDOG;25
ZSCF;XB17;60
ZSCF;B18;39
ZT29;B3;1
ZT29;ZJCO;30
ZT29;B26;65
ZT29;ZPLA;58
ZT29;Z291;70
ZT29;B29;39
ZT29;XPIM;26
ZT29;FDOG;12
ZTAR;ZCAR;45
