Place;Area;Weight;Active;Link
ZBIB;3019;0.243526660;1;
ZGYM;2284;0.184238122;1;
ZPLA;1943;0.156731467;1;
ZJCO;999;0.080584012;1;
ZJEF;837;0.067516335;1;
ZGYA;594;0.047914818;1;
ZPCU;583;0.047027507;1;
ZPIM;508;0.040977656;1;
ZC34;457;0.036863757;1;
ZT29;386;0.031136565;1;
ZC35;284;0.022908768;1;
ZEE;134;0.010809067;1;
ZCAR;104;0.008389126;1;
ZPLC;68;0.005485198;1;
ZSCF;52;0.004194563;1;
Z291;45;0.003629910;1;
ZETE;33;0.002661934;1;
ZTAR;29;0.002339276;1;
ZLEC;20;0.001613294;1;
Z292;18;0.001451964;1;